"country","year","ae_ton_manu"
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
"tur","2016",NA
"tur","2017",NA
"tur","2018",NA
"tur","2019",NA
"tur","2020",NA
"tur","2021",NA
"tur","2022",NA
"tur","2023",NA
"gbr","1990",NA
"gbr","1991",NA
"gbr","1992",NA
"gbr","1993",NA
"gbr","1994",NA
"gbr","1995",NA
"gbr","1996",NA
"gbr","1997",NA
"gbr","1998",NA
"gbr","1999",NA
"gbr","2000",NA
"gbr","2001",NA
"gbr","2002",NA
"gbr","2003",NA
"gbr","2004",NA
"gbr","2005",NA
"gbr","2006",NA
"gbr","2007",NA
"gbr","2008",111648.1
"gbr","2009",94075.4
"gbr","2010",97445.3
"gbr","2011",93190.2
"gbr","2012",89688.4
"gbr","2013",92323.7
"gbr","2014",91436.1
"gbr","2015",88752
"gbr","2016",84312.2
"gbr","2017",85314.2
"gbr","2018",84017.4
"gbr","2019",83794.8
"gbr","2020",80927.1
"gbr","2021",81593.9
"gbr","2022",80435.2
"gbr","2023",NA
