"country","year","chain_value_land"
"srb","2022",134307.6
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",2300.9
"svk","2009",2423.5
"svk","2010",2134.3
"svk","2011",1682.4
"svk","2012",2302
"svk","2013",2309.8
"svk","2014",2603.2
"svk","2015",2661.2
"svk","2016",2496.8
"svk","2017",2599.2
"svk","2018",2602
"svk","2019",2641.4
"svk","2020",2228
"svk","2021",2086.2
"svk","2022",2561.7
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",1102
"svn","2009",971.1
"svn","2010",1060.3
"svn","2011",1044.8
"svn","2012",989
"svn","2013",969.4
"svn","2014",1022.6
"svn","2015",1158.5
"svn","2016",1268.3
"svn","2017",1414.5
"svn","2018",1471.9
"svn","2019",1578.8
"svn","2020",1449.6
"svn","2021",1650.1
"svn","2022",1765.8
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",26464
"esp","2009",25242
"esp","2010",25719
"esp","2011",24980
"esp","2012",24980
"esp","2013",23300
"esp","2014",23334
"esp","2015",24157
"esp","2016",22498
"esp","2017",22949
"esp","2018",22329
"esp","2019",23176
"esp","2020",19228
"esp","2021",21324
"esp","2022",NA
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",92521
"swe","2009",83413
"swe","2010",89293
"swe","2011",94777
"swe","2012",92533
"swe","2013",90770
"swe","2014",93248
"swe","2015",91134
"swe","2016",88599
"swe","2017",93640
"swe","2018",99085
"swe","2019",104019
"swe","2020",81319
"swe","2021",94621
"swe","2022",NA
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",14656.9
"che","2009",13886.4
"che","2010",14553.6
"che","2011",14572.9
"che","2012",14915
"che","2013",14457.5
"che","2014",14930.4
"che","2015",14703.2
"che","2016",14126.8
"che","2017",14194.6
"che","2018",14616.5
"che","2019",15218.4
"che","2020",12072
"che","2021",12905.6
"che","2022",15363.3
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
"tur","2009",NA
"tur","2010",NA
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
