"country","year","ae_ton_health"
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",NA
"srb","2022",NA
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",201.90658
"svk","2009",202.20517
"svk","2010",216.94677
"svk","2011",178.48422
"svk","2012",185.18231
"svk","2013",192.65788
"svk","2014",162.69725
"svk","2015",162.56703
"svk","2016",171.18392
"svk","2017",180.56892
"svk","2018",168.80341
"svk","2019",184.74307
"svk","2020",204.81252
"svk","2021",232.09781
"svk","2022",219.10857
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",151.5737
"svn","2009",168.21272
"svn","2010",157.55924
"svn","2011",165.60865
"svn","2012",152.70875
"svn","2013",141.89814
"svn","2014",127.00988
"svn","2015",153.13533
"svn","2016",176.29987
"svn","2017",141.10254
"svn","2018",136.39725
"svn","2019",167.65913
"svn","2020",144.60347
"svn","2021",105.97401
"svn","2022",163.8683
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",1292.04814
"esp","2009",1315.87369
"esp","2010",1405.27999
"esp","2011",1411.02118
"esp","2012",1221.84186
"esp","2013",1082.07462
"esp","2014",997.76508
"esp","2015",927.06635
"esp","2016",978.1831
"esp","2017",1032.73153
"esp","2018",1111.2985
"esp","2019",1257.14995
"esp","2020",1235.59358
"esp","2021",1299.75294
"esp","2022",1276.2402
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",449.3797
"swe","2009",431.21023
"swe","2010",451.37237
"swe","2011",426.7192
"swe","2012",421.68194
"swe","2013",389.87988
"swe","2014",386.50658
"swe","2015",386.00617
"swe","2016",368.84591
"swe","2017",394.9843
"swe","2018",358.44829
"swe","2019",352.06745
"swe","2020",337.77718
"swe","2021",334.0253
"swe","2022",296.60938
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",930.36751
"che","2009",947.59208
"che","2010",984.32385
"che","2011",859.82984
"che","2012",883.31652
"che","2013",903.22138
"che","2014",777.22343
"che","2015",799.55538
"che","2016",794.98685
"che","2017",765.5992
"che","2018",689.702
"che","2019",702.84907
"che","2020",701.10655
"che","2021",750.81714
"che","2022",NA
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
"tur","2009",NA
"tur","2010",NA
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
"tur","2016",NA
"tur","2017",NA
"tur","2018",NA
"tur","2019",NA
"tur","2020",NA
"tur","2021",NA
"tur","2022",NA
"tur","2023",NA
"gbr","1990",NA
"gbr","1991",NA
"gbr","1992",NA
"gbr","1993",NA
"gbr","1994",NA
"gbr","1995",NA
"gbr","1996",NA
"gbr","1997",NA
"gbr","1998",NA
"gbr","1999",NA
"gbr","2000",NA
"gbr","2001",NA
"gbr","2002",NA
"gbr","2003",NA
"gbr","2004",NA
"gbr","2005",NA
"gbr","2006",NA
"gbr","2007",NA
"gbr","2008",5114.7
"gbr","2009",5025.3
"gbr","2010",5359.4
"gbr","2011",4861
"gbr","2012",5427.2
"gbr","2013",5914.4
"gbr","2014",5289.8
"gbr","2015",5236.5
"gbr","2016",5444
"gbr","2017",5209.7
"gbr","2018",5343.8
"gbr","2019",5125.7
"gbr","2020",5109.3
"gbr","2021",5644.3
"gbr","2022",5214.3
"gbr","2023",NA
