"country","year","ae_ton_retail"
"svn","2021",465.29418
"svn","2022",490.46028
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",6405.60481
"esp","2009",6255.5991
"esp","2010",6734.67045
"esp","2011",6837.8412
"esp","2012",6517.70589
"esp","2013",6048.11138
"esp","2014",5687.38537
"esp","2015",3624.06129
"esp","2016",3766.99073
"esp","2017",3446.29058
"esp","2018",3238.44505
"esp","2019",3228.59861
"esp","2020",2884.99681
"esp","2021",3134.20894
"esp","2022",3140.28056
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",2113.88196
"swe","2009",1922.56459
"swe","2010",2001.07989
"swe","2011",2064.53012
"swe","2012",1869.47921
"swe","2013",1854.8851
"swe","2014",1727.53978
"swe","2015",1727.54919
"swe","2016",1699.17768
"swe","2017",1648.95018
"swe","2018",1644.48015
"swe","2019",1677.87528
"swe","2020",1512.62663
"swe","2021",1473.84715
"swe","2022",1300.84828
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",2400.31303
"che","2009",2374.55766
"che","2010",2466.8534
"che","2011",2360.28554
"che","2012",2429.09048
"che","2013",2346.93335
"che","2014",2057.7768
"che","2015",2064.63371
"che","2016",2067.77928
"che","2017",2042.7872
"che","2018",1904.1996
"che","2019",1886.71165
"che","2020",1774.46369
"che","2021",1807.30874
"che","2022",NA
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
"tur","2009",NA
"tur","2010",NA
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
"tur","2016",NA
"tur","2017",NA
"tur","2018",NA
"tur","2019",NA
"tur","2020",NA
