"country","year","ae_cap_total"
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",9444.70691
"pol","2009",8924.26165
"pol","2010",9288.85503
"pol","2011",9386.43381
"pol","2012",9140.77857
"pol","2013",9097.62414
"pol","2014",8907.49107
"pol","2015",8976.47785
"pol","2016",9279.49313
"pol","2017",9706.23203
"pol","2018",9670.24348
"pol","2019",9237.05064
"pol","2020",8833.7564
"pol","2021",9706.92716
"pol","2022",9587.31138
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",6489.67715
"prt","2009",6178.24819
"prt","2010",5739.8816
"prt","2011",5697.68864
"prt","2012",5624.08312
"prt","2013",5473.35648
"prt","2014",5493.30531
"prt","2015",5910.80361
"prt","2016",5715.54208
"prt","2017",6229.58951
"prt","2018",5908.58802
"prt","2019",5545.68022
"prt","2020",4810.2076
"prt","2021",4695.76073
"prt","2022",4882.36736
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",6792.8144
"rou","2009",5751.8284
"rou","2010",5581.71718
"rou","2011",5895.53344
"rou","2012",5748.56683
"rou","2013",5205.38927
"rou","2014",5195.85481
"rou","2015",5160.81836
"rou","2016",5081.31518
"rou","2017",5218.99037
"rou","2018",5256.9036
"rou","2019",5097.5065
"rou","2020",4886.39885
"rou","2021",5009.9511
"rou","2022",4775.51629
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
