"country","year","ae_ton_land"
"swe","2012",2946.53327
"swe","2013",2703.70623
"swe","2014",2597.09849
"swe","2015",2392.9566
"swe","2016",2136.28411
"swe","2017",2010.63726
"swe","2018",1875.99721
"swe","2019",1829.77106
"swe","2020",1670.48124
"swe","2021",1737.83458
"swe","2022",1952.48091
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",1657.15349
"che","2009",1604.40881
"che","2010",1619.37223
"che","2011",1612.1299
"che","2012",1541.02409
"che","2013",1528.12547
"che","2014",1533.57235
"che","2015",1526.65359
"che","2016",1543.88251
"che","2017",1517.69185
"che","2018",1508.10589
"che","2019",1510.75955
"che","2020",1467.7281
"che","2021",1477.29049
"che","2022",NA
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
"tur","2009",NA
"tur","2010",NA
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
"tur","2016",NA
"tur","2017",NA
"tur","2018",NA
"tur","2019",NA
"tur","2020",NA
"tur","2021",NA
"tur","2022",NA
"tur","2023",NA
"gbr","1990",NA
"gbr","1991",NA
"gbr","1992",NA
"gbr","1993",NA
"gbr","1994",NA
"gbr","1995",NA
"gbr","1996",NA
"gbr","1997",NA
"gbr","1998",NA
"gbr","1999",NA
"gbr","2000",NA
"gbr","2001",NA
"gbr","2002",NA
"gbr","2003",NA
"gbr","2004",NA
"gbr","2005",NA
"gbr","2006",NA
"gbr","2007",NA
"gbr","2008",24670.4
"gbr","2009",22640.7
"gbr","2010",23224.8
"gbr","2011",22399.1
"gbr","2012",22180.3
"gbr","2013",22080.1
"gbr","2014",22476.5
"gbr","2015",22715.5
"gbr","2016",23172.2
"gbr","2017",23243.5
"gbr","2018",23274.6
"gbr","2019",23160.3
"gbr","2020",20390.8
"gbr","2021",22008
"gbr","2022",NA
"gbr","2023",NA
