"country","year","ae_ton_info"
"tur","2009",NA
"tur","2010",NA
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
"tur","2016",NA
"tur","2017",NA
"tur","2018",NA
"tur","2019",NA
"tur","2020",NA
"tur","2021",NA
"tur","2022",NA
"tur","2023",NA
"gbr","1990",NA
"gbr","1991",NA
"gbr","1992",NA
"gbr","1993",NA
"gbr","1994",NA
"gbr","1995",NA
"gbr","1996",NA
"gbr","1997",NA
"gbr","1998",NA
"gbr","1999",NA
"gbr","2000",NA
"gbr","2001",NA
"gbr","2002",NA
"gbr","2003",NA
"gbr","2004",NA
"gbr","2005",NA
"gbr","2006",NA
"gbr","2007",NA
"gbr","2008",1183.1
"gbr","2009",1008.8
"gbr","2010",1032.9
"gbr","2011",981.5
"gbr","2012",994.7
"gbr","2013",944.8
"gbr","2014",901.3
"gbr","2015",908.7
"gbr","2016",932
"gbr","2017",887.3
"gbr","2018",839.4
"gbr","2019",833.8
"gbr","2020",698.4
"gbr","2021",771.2
"gbr","2022",760.1
"gbr","2023",NA
