"country","year","ae_ton_house"
"prt","2020",0
"prt","2021",0
"prt","2022",0
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",0
"rou","2009",0
"rou","2010",0
"rou","2011",0
"rou","2012",0
"rou","2013",0
"rou","2014",0
"rou","2015",0
"rou","2016",0
"rou","2017",0
"rou","2018",0
"rou","2019",0
"rou","2020",0
"rou","2021",0
"rou","2022",0
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",NA
"srb","2022",NA
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",0.33538
"svk","2009",0.32888
"svk","2010",0.34329
"svk","2011",0.3223
"svk","2012",0.38794
"svk","2013",0.54029
"svk","2014",0.35377
"svk","2015",0.30106
"svk","2016",0.30693
"svk","2017",0.30798
"svk","2018",0.81196
"svk","2019",9.29558
"svk","2020",0.29364
"svk","2021",0.29148
"svk","2022",0.27454
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",0
"svn","2009",0
"svn","2010",0
"svn","2011",0
"svn","2012",0
"svn","2013",0
"svn","2014",0
"svn","2015",0
"svn","2016",0
"svn","2017",0
"svn","2018",0
"svn","2019",0
"svn","2020",0
"svn","2021",0
"svn","2022",0
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",0.17704
"esp","2009",0.18226
"esp","2010",0.18101
"esp","2011",0.17915
"esp","2012",0.18005
"esp","2013",0.18289
"esp","2014",0.18026
"esp","2015",0.17025
"esp","2016",0.17295
"esp","2017",0.16829
"esp","2018",0.1598
"esp","2019",0.15252
"esp","2020",0.1386
"esp","2021",0.13092
"esp","2022",0.14869
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",0.00896
"swe","2009",0.00896
"swe","2010",0.01268
"swe","2011",0.00896
"swe","2012",0.0215
"swe","2013",0.01276
"swe","2014",0.00663
"swe","2015",0.00778
"swe","2016",0.0154
"swe","2017",0.01594
"swe","2018",0.01548
"swe","2019",0.00446
"swe","2020",0.02011
"swe","2021",0.01987
"swe","2022",0.01759
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",0
"che","2009",0
"che","2010",0
"che","2011",0
"che","2012",0
"che","2013",0
"che","2014",0
"che","2015",0
"che","2016",0
"che","2017",0
"che","2018",0
"che","2019",0
"che","2020",0
"che","2021",0
"che","2022",NA
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
"tur","2009",NA
"tur","2010",NA
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
"tur","2016",NA
"tur","2017",NA
"tur","2018",NA
"tur","2019",NA
"tur","2020",NA
"tur","2021",NA
"tur","2022",NA
"tur","2023",NA
"gbr","1990",NA
"gbr","1991",NA
"gbr","1992",NA
"gbr","1993",NA
"gbr","1994",NA
"gbr","1995",NA
"gbr","1996",NA
"gbr","1997",NA
"gbr","1998",NA
"gbr","1999",NA
"gbr","2000",NA
"gbr","2001",NA
"gbr","2002",NA
"gbr","2003",NA
"gbr","2004",NA
"gbr","2005",NA
"gbr","2006",NA
"gbr","2007",NA
"gbr","2008",50.1
"gbr","2009",38
"gbr","2010",50.4
"gbr","2011",48.4
"gbr","2012",47.3
"gbr","2013",41.8
"gbr","2014",46.3
"gbr","2015",42.5
"gbr","2016",51.7
"gbr","2017",46.2
"gbr","2018",47.5
"gbr","2019",47.7
"gbr","2020",31.6
"gbr","2021",40.7
"gbr","2022",40.4
"gbr","2023",NA
