"country","year","ae_ton_elec"
"lux","2022",266.79306
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",1996.62681
"mlt","2009",1874.6376
"mlt","2010",1872.46464
"mlt","2011",1921.0701
"mlt","2012",2029.24514
"mlt","2013",1652.97997
"mlt","2014",1608.6349
"mlt","2015",856.17342
"mlt","2016",561.64929
"mlt","2017",721.97773
"mlt","2018",700.84694
"mlt","2019",742.83431
"mlt","2020",813.32399
"mlt","2021",775.0837
"mlt","2022",787.13752
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",50039.89893
"nld","2009",50011.6477
"nld","2010",52110.6384
"nld","2011",47886.37257
"nld","2012",44895.60965
"nld","2013",44986.54715
"nld","2014",48656.33945
"nld","2015",53203.05694
"nld","2016",52061.49186
"nld","2017",48356.42726
"nld","2018",44691.57032
"nld","2019",41622.69502
"nld","2020",32611.54158
"nld","2021",32516.40379
"nld","2022",30744.42237
"nld","2023",NA
"nzl","1990",NA
"nzl","1991",NA
"nzl","1992",NA
"nzl","1993",NA
"nzl","1994",NA
"nzl","1995",NA
"nzl","1996",NA
"nzl","1997",NA
"nzl","1998",NA
"nzl","1999",NA
"nzl","2000",NA
"nzl","2001",NA
"nzl","2002",NA
"nzl","2003",NA
"nzl","2004",NA
"nzl","2005",NA
"nzl","2006",NA
"nzl","2007",NA
"nzl","2008",9284.2839489
"nzl","2009",7260.2591196
"nzl","2010",6610.7394255
"nzl","2011",6147.7259574
"nzl","2012",7579.3945563
"nzl","2013",6292.4631965
"nzl","2014",5350.2568768
"nzl","2015",5150.5029509
"nzl","2016",4031.5905515
"nzl","2017",4558.3263818
"nzl","2018",4423.7954534
"nzl","2019",5075.0981657
"nzl","2020",5415.4914291
"nzl","2021",5144.3056132
"nzl","2022",NA
"nzl","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",871.18904
"nor","2009",2084.25475
"nor","2010",2565.05541
"nor","2011",2343.40917
"nor","2012",1820.97564
"nor","2013",1844.25395
"nor","2014",1801.80106
"nor","2015",1790.88489
"nor","2016",1743.31115
"nor","2017",1879.6414
"nor","2018",1836.65697
"nor","2019",1744.04894
"nor","2020",1681.15269
"nor","2021",1723.41438
"nor","2022",1676.60078
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",163289.3674
"pol","2009",156773.34002
"pol","2010",161987.05188
"pol","2011",163310.59682
"pol","2012",157303.22124
"pol","2013",158971.72615
"pol","2014",150344.76719
"pol","2015",152123.62518
"pol","2016",152295.23142
"pol","2017",153852.62965
"pol","2018",151388.26379
"pol","2019",137723.80659
"pol","2020",127520.92067
"pol","2021",148026.17509
"pol","2022",141009.99083
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",16637.2548
"prt","2009",17098.0482
"prt","2010",12051.7422
"prt","2011",14185.0842
"prt","2012",15162.8369
"prt","2013",12492.1846
"prt","2014",12203.6035
"prt","2015",15785.6663
"prt","2016",14692.9941
"prt","2017",18523.3961
"prt","2018",15375.7761
"prt","2019",10558.3717
"prt","2020",7967.1112
"prt","2021",6176.5335
"prt","2022",6194.3785
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",45347.20495
"rou","2009",37960.54158
"rou","2010",34373.15727
"rou","2011",39566.66937
"rou","2012",36431.65409
"rou","2013",29949.37651
"rou","2014",29538.90733
"rou","2015",29593.22124
"rou","2016",27116.92182
"rou","2017",27887.72927
"rou","2018",26437.25769
"rou","2019",22845.43395
"rou","2020",19221.40452
"rou","2021",19948.29365
"rou","2022",19031.9004
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",NA
"srb","2022",NA
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
