"country","year","ae_ton_food"
"gbr","1998",NA
"gbr","1999",NA
"gbr","2000",NA
"gbr","2001",NA
"gbr","2002",NA
"gbr","2003",NA
"gbr","2004",NA
"gbr","2005",NA
"gbr","2006",NA
"gbr","2007",NA
"gbr","2008",3981.2
"gbr","2009",3309.8
"gbr","2010",3552.9
"gbr","2011",3221.1
"gbr","2012",3598.9
"gbr","2013",3679.8
"gbr","2014",3270
"gbr","2015",3615.8
"gbr","2016",3708
"gbr","2017",3681.8
"gbr","2018",3641.4
"gbr","2019",3623.9
"gbr","2020",3112.7
"gbr","2021",3448.5
"gbr","2022",3236.8
"gbr","2023",NA
