"country","year","env_rnd"
"esp","2010",0.08
"esp","2011",0.07
"esp","2012",0.07
"esp","2013",0.06
"esp","2014",0.06
"esp","2015",NA
"esp","2016",NA
"esp","2017",NA
"esp","2018",NA
"esp","2019",NA
"esp","2020",NA
"esp","2021",NA
"esp","2022",NA
"esp","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",0
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",0
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",NA
"che","2009",NA
"che","2010",NA
"che","2011",NA
"che","2012",NA
"che","2013",NA
"che","2014",NA
"che","2015",NA
"che","2016",NA
"che","2017",NA
"che","2018",NA
"che","2019",NA
"che","2020",NA
"che","2021",NA
"che","2022",NA
"che","2023",NA
