"country","year","ent_nr_food"
"pol","2013",NA
"pol","2014",NA
"pol","2015",NA
"pol","2016",NA
"pol","2017",NA
"pol","2018",NA
"pol","2019",NA
"pol","2020",NA
"pol","2021",78343
"pol","2022",78084
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",NA
"prt","2009",NA
"prt","2010",NA
"prt","2011",NA
"prt","2012",NA
"prt","2013",NA
"prt","2014",NA
"prt","2015",NA
"prt","2016",NA
"prt","2017",NA
"prt","2018",NA
"prt","2019",NA
"prt","2020",NA
"prt","2021",111094
"prt","2022",118626
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",NA
"rou","2009",NA
"rou","2010",NA
"rou","2011",NA
"rou","2012",NA
"rou","2013",NA
"rou","2014",NA
"rou","2015",NA
"rou","2016",NA
"rou","2017",NA
"rou","2018",NA
"rou","2019",NA
"rou","2020",NA
"rou","2021",41410
"rou","2022",43357
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",19634
"srb","2022",18590
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",NA
"svk","2009",NA
"svk","2010",NA
"svk","2011",NA
"svk","2012",NA
"svk","2013",NA
"svk","2014",NA
"svk","2015",NA
"svk","2016",NA
"svk","2017",NA
"svk","2018",NA
"svk","2019",NA
"svk","2020",NA
"svk","2021",19890
"svk","2022",20112
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",NA
"svn","2009",NA
"svn","2010",NA
"svn","2011",NA
"svn","2012",NA
"svn","2013",NA
"svn","2014",NA
"svn","2015",NA
"svn","2016",NA
"svn","2017",NA
"svn","2018",NA
"svn","2019",NA
"svn","2020",NA
"svn","2021",13413
"svn","2022",14371
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",NA
"esp","2009",NA
"esp","2010",NA
"esp","2011",NA
"esp","2012",NA
"esp","2013",NA
"esp","2014",NA
"esp","2015",NA
"esp","2016",NA
"esp","2017",NA
"esp","2018",NA
"esp","2019",NA
"esp","2020",NA
"esp","2021",290701
"esp","2022",291176
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",NA
"swe","2009",NA
"swe","2010",NA
"swe","2011",NA
"swe","2012",NA
"swe","2013",NA
"swe","2014",NA
"swe","2015",NA
"swe","2016",NA
"swe","2017",NA
"swe","2018",NA
"swe","2019",NA
"swe","2020",NA
"swe","2021",31463
"swe","2022",31053
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",NA
"che","2009",NA
"che","2010",NA
"che","2011",NA
"che","2012",NA
"che","2013",NA
"che","2014",NA
"che","2015",NA
"che","2016",NA
"che","2017",NA
"che","2018",NA
"che","2019",NA
"che","2020",NA
"che","2021",17784
"che","2022",17333
"che","2023",NA
