"country","year","exp_total"
"bwa","1997",NA
"bwa","1998",NA
"bwa","1999",NA
"bwa","2000",NA
"bwa","2001",NA
"bwa","2002",NA
"bwa","2003",NA
"bwa","2004",NA
"bwa","2005",NA
"bwa","2006",NA
"bwa","2007",NA
"bwa","2008",90220
"bwa","2009",119151
"bwa","2010",58993
"bwa","2011",143331
"bwa","2012",93615
"bwa","2013",81621
"bwa","2014",84560
"bwa","2015",32839
"bwa","2016",42933
"bwa","2017",51779
"bwa","2018",10066
"bwa","2019",15961
"bwa","2020",14079
"bwa","2021",18608
"bwa","2022",16268
"bwa","2023",1
"bouisl","1990",NA
"bouisl","1991",NA
"bouisl","1992",NA
"bouisl","1993",NA
"bouisl","1994",NA
"bouisl","1995",NA
"bouisl","1996",NA
"bouisl","1997",NA
"bouisl","1998",NA
"bouisl","1999",NA
"bouisl","2000",NA
"bouisl","2001",NA
"bouisl","2002",NA
"bouisl","2003",NA
"bouisl","2004",NA
"bouisl","2005",NA
"bouisl","2006",NA
"bouisl","2007",NA
"bouisl","2008",0
"bouisl","2009",0
"bouisl","2010",267
"bouisl","2011",360
"bouisl","2012",0
"bouisl","2013",0
"bouisl","2014",0
"bouisl","2015",0
"bouisl","2016",1420
"bouisl","2017",0
"bouisl","2018",0
"bouisl","2019",0
"bouisl","2020",0
"bouisl","2021",0
"bouisl","2022",96
"bouisl","2023",0
"bra","1990",NA
"bra","1991",NA
"bra","1992",NA
"bra","1993",NA
"bra","1994",NA
"bra","1995",NA
"bra","1996",NA
"bra","1997",NA
"bra","1998",NA
"bra","1999",NA
"bra","2000",NA
"bra","2001",NA
"bra","2002",NA
"bra","2003",NA
"bra","2004",NA
"bra","2005",NA
"bra","2006",NA
"bra","2007",NA
"bra","2008",9391211
"bra","2009",6623654
"bra","2010",10793372
"bra","2011",13372208
"bra","2012",11788116
"bra","2013",9555682
"bra","2014",9156622
"bra","2015",7286337
"bra","2016",6790984
"bra","2017",7336859
"bra","2018",7976475
"bra","2019",9472810
"bra","2020",10033559
"bra","2021",10291918
"bra","2022",16858393
"bra","2023",1
"iot","1990",NA
"iot","1991",NA
"iot","1992",NA
"iot","1993",NA
"iot","1994",NA
"iot","1995",NA
"iot","1996",NA
"iot","1997",NA
"iot","1998",NA
"iot","1999",NA
"iot","2000",NA
"iot","2001",NA
"iot","2002",NA
"iot","2003",NA
"iot","2004",NA
"iot","2005",NA
"iot","2006",NA
"iot","2007",NA
"iot","2008",0
"iot","2009",8218
"iot","2010",0
"iot","2011",0
"iot","2012",0
"iot","2013",0
"iot","2014",0
"iot","2015",0
"iot","2016",0
"iot","2017",10
"iot","2018",18
"iot","2019",0
"iot","2020",0
"iot","2021",2
"iot","2022",0
"iot","2023",0
"vgb","1990",NA
"vgb","1991",NA
"vgb","1992",NA
"vgb","1993",NA
"vgb","1994",NA
"vgb","1995",NA
"vgb","1996",NA
"vgb","1997",NA
"vgb","1998",NA
"vgb","1999",NA
"vgb","2000",NA
"vgb","2001",NA
"vgb","2002",NA
"vgb","2003",NA
"vgb","2004",NA
"vgb","2005",NA
"vgb","2006",NA
"vgb","2007",NA
"vgb","2008",78465
"vgb","2009",15122
"vgb","2010",22813
"vgb","2011",122826
"vgb","2012",17722
"vgb","2013",26803
"vgb","2014",20221
"vgb","2015",102760
"vgb","2016",111962
"vgb","2017",12351
"vgb","2018",4354
"vgb","2019",4911
"vgb","2020",23472
"vgb","2021",2016
"vgb","2022",20547
"vgb","2023",1
"brn","1990",NA
"brn","1991",NA
"brn","1992",NA
"brn","1993",NA
"brn","1994",NA
"brn","1995",NA
"brn","1996",NA
"brn","1997",NA
"brn","1998",NA
"brn","1999",NA
"brn","2000",NA
"brn","2001",NA
"brn","2002",NA
"brn","2003",NA
"brn","2004",NA
"brn","2005",NA
"brn","2006",NA
"brn","2007",NA
"brn","2008",10118
"brn","2009",8048
"brn","2010",20808
"brn","2011",49975
"brn","2012",13410
"brn","2013",31487
"brn","2014",34851
"brn","2015",22257
"brn","2016",81183
"brn","2017",28666
"brn","2018",28466
"brn","2019",25508
"brn","2020",13805
"brn","2021",21080
"brn","2022",10817
"brn","2023",1
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",1245688
"bgr","2009",822477
"bgr","2010",906769
"bgr","2011",1070180
"bgr","2012",974961
"bgr","2013",1060363
"bgr","2014",938165
"bgr","2015",1103654
"bgr","2016",1178468
"bgr","2017",1502151
"bgr","2018",1620011
"bgr","2019",1583255
"bgr","2020",1614543
"bgr","2021",1896146
"bgr","2022",2663210
"bgr","2023",1
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",2290630
NA,"2009",1622481
NA,"2010",2397467
NA,"2011",3558711
NA,"2012",3806488
NA,"2013",3231289
NA,"2014",3674470
NA,"2015",2282117
NA,"2016",1970213
NA,"2017",2335264
NA,"2018",3087392
NA,"2019",3106576
NA,"2020",1975862
NA,"2021",2831052
NA,"2022",5894316
NA,"2023",1
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",3536614
NA,"2009",2298938
NA,"2010",3992092
NA,"2011",4893439
NA,"2012",4812846
NA,"2013",4376510
NA,"2014",4526150
NA,"2015",3297008
NA,"2016",3331333
NA,"2017",4633506
NA,"2018",5028516
NA,"2019",4491044
NA,"2020",2496460
NA,"2021",3650217
NA,"2022",8256556
NA,"2023",1
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
