country,year,foradl_lop_industri
bih,2015,2641.2
bih,2016,2859.9
bih,2017,3115.7
bih,2018,3429.3
bih,2019,3487.2
bih,2020,3413.3
bih,2021,4113.1
bih,2022,4741.5
bih,2023,4889.4
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,351.8
mne,2009,354.8
mne,2010,380.7
mne,2011,332.2
mne,2012,325.9
mne,2013,395.8
mne,2014,376.6
mne,2015,387.2
mne,2016,400.6
mne,2017,397.7
mne,2018,476.7
mne,2019,480.2
mne,2020,469.5
mne,2021,500.7
mne,2022,537.8
mne,2023,645
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,940.8
mkd,2009,902.4
mkd,2010,1100
mkd,2011,1235.4
mkd,2012,1165.1
mkd,2013,1224.3
mkd,2014,1360.9
mkd,2015,1526.1
mkd,2016,1646.6
mkd,2017,1784.3
mkd,2018,2002.7
mkd,2019,2035.5
mkd,2020,1892.2
mkd,2021,2016.2
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,824.5
alb,2009,828
alb,2010,1066.5
alb,2011,1055.5
alb,2012,1070.8
alb,2013,1190.2
alb,2014,1239.4
alb,2015,1312.2
alb,2016,1328.3
alb,2017,1289.6
alb,2018,1562.7
alb,2019,1627.5
alb,2020,1510.4
alb,2021,1674.2
alb,2022,2069.8
alb,2023,2386.5
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,8816.9
srb,2009,7205.5
srb,2010,7315.1
srb,2011,8568.9
srb,2012,8297.2
srb,2013,9710.9
srb,2014,8723.5
srb,2015,8588.7
srb,2016,8841.3
srb,2017,9431
srb,2018,9809.5
srb,2019,9862.6
srb,2020,9623.4
srb,2021,10722.9
srb,2022,12978.4
srb,2023,14268.9
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,101859.7
tur,2009,85740.3
tur,2010,107846
tur,2011,118485.7
tur,2012,131442.6
tur,2013,141517.5
tur,2014,141843.7
tur,2015,153306.5
tur,2016,154010.1
tur,2017,156974
tur,2018,147084.6
tur,2019,148917.5
tur,2020,142791.2
tur,2021,179976.7
tur,2022,227748.9
tur,2023,235818.7
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
