country,year,foradl_lop_annan_serv
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,5666.7
tur,2009,4824.7
tur,2010,6101.3
tur,2011,6400.4
tur,2012,7078.2
tur,2013,7230.7
tur,2014,7219
tur,2015,7361.4
tur,2016,7568.4
tur,2017,7299.3
tur,2018,6234.5
tur,2019,6577.3
tur,2020,5299.4
tur,2021,5762.6
tur,2022,6359.9
tur,2023,8211
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
