country,year,foradl_lop_offent_forsvar
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,2213.5
srb,2009,1993.2
srb,2010,1625.9
srb,2011,1867.8
srb,2012,1842.9
srb,2013,1922.2
srb,2014,1846.4
srb,2015,1648.3
srb,2016,1591.4
srb,2017,1915
srb,2018,2177.9
srb,2019,2419.8
srb,2020,2630.8
srb,2021,2831.8
srb,2022,3146.2
srb,2023,3503.5
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,23362.6
tur,2009,23207.3
tur,2010,28151.4
tur,2011,27022.7
tur,2012,31948.1
tur,2013,32034.6
tur,2014,31830.1
tur,2015,33563
tur,2016,35646.3
tur,2017,32495.3
tur,2018,31612.5
tur,2019,35714.5
tur,2020,32891.2
tur,2021,30816.6
tur,2022,33376.1
tur,2023,44773.5
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
