country,year,loner_lop_vatten
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,109.4
bih,2009,115.3
bih,2010,118.4
bih,2011,121.4
bih,2012,126.1
bih,2013,126.2
bih,2014,129.7
bih,2015,130.1
bih,2016,130.3
bih,2017,134.9
bih,2018,145.4
bih,2019,149.6
bih,2020,149.3
bih,2021,156.9
bih,2022,172.7
bih,2023,190.1
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,43.5
mkd,2009,48.8
mkd,2010,51.7
mkd,2011,49.7
mkd,2012,50.9
mkd,2013,52.2
mkd,2014,54.5
mkd,2015,56.4
mkd,2016,59.4
mkd,2017,60.9
mkd,2018,63.1
mkd,2019,67
mkd,2020,73
mkd,2021,75.4
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,35.7
alb,2014,30.9
alb,2015,35
alb,2016,38.7
alb,2017,42.3
alb,2018,44.9
alb,2019,50.8
alb,2020,51.7
alb,2021,58.2
alb,2022,63.9
alb,2023,77.5
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,211.8
srb,2009,209.5
srb,2010,199.8
srb,2011,223.1
srb,2012,226.5
srb,2013,254.9
srb,2014,245.5
srb,2015,229.3
srb,2016,205.1
srb,2017,213.8
srb,2018,227.7
srb,2019,270.8
srb,2020,308.7
srb,2021,359.8
srb,2022,393.3
srb,2023,441.5
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,1230.9
tur,2010,1556.6
tur,2011,1480.8
tur,2012,1600.9
tur,2013,1648.8
tur,2014,1686.4
tur,2015,1967.7
tur,2016,2051.3
tur,2017,1857.4
tur,2018,1223.8
tur,2019,1211.4
tur,2020,1013.9
tur,2021,997.3
tur,2022,926.3
tur,2023,1215.5
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
